INPUT_ITEM_ID,ITEM_CLASS_NM,OUTPUT_ITEM_ID,LOC
1999-082-591,UPI_SORT,1999-082-592,D1D
1999-135-440,UPI_SORT,1999-135-443,F28
1999-135-440,UPI_SORT,1999-135-444,F32
1999-135-440,UPI_SORT,1999-135-445,D1C
1999-233-812,UPI_SORT,1999-233-813,F28
1999-235-064,UPI_SORT,1999-235-080,F24
1999-235-064,UPI_SORT,1999-244-731,F12
1999-235-064,UPI_SORT,1999-244-732,F32
1999-235-064,UPI_SORT,1999-244-733,D1D
1999-235-064,UPI_SORT,1999-244-734,F12
1999-244-730,UPI_SORT,1999-244-735,F24
1999-244-730,UPI_SORT,1999-244-744,D1D
1999-244-730,UPI_SORT,1999-244-745,F12
1999-244-730,UPI_SORT,1999-244-746,F28
1999-244-730,UPI_SORT,1999-244-747,F32
1999-244-730,UPI_SORT,1999-244-748,D1C
1999-244-730,UPI_SORT,1999-246-910,F24
1999-244-743,UPI_SORT,1999-246-911,D1C
1999-244-743,UPI_SORT,1999-246-912,F24
1999-244-743,UPI_SORT,1999-246-913,D1D
1999-244-743,UPI_SORT,1999-246-914,F12
1999-244-743,UPI_SORT,1999-249-805,F28
1999-244-743,UPI_SORT,1999-249-806,F32
1999-246-687,UPI_SORT,1999-249-807,F28
1999-246-687,UPI_SORT,1999-249-808,F32
1999-249-802,UPI_SORT,1999-249-809,F32
1999-249-802,UPI_SORT,1999-249-837,D1C
1999-249-802,UPI_SORT,1999-249-838,F21
1999-249-802,UPI_SORT,1999-249-839,F24
1999-249-802,UPI_SORT,1999-249-840,D1D
1999-249-802,UPI_SORT,1999-256-220,F12
1999-249-836,UPI_SORT,1999-256-221,D1D
1999-256-006,UPI_SORT,1999-256-222,F21
1999-256-006,UPI_SORT,1999-256-223,F24
1999-256-006,UPI_SORT,1999-256-224,D1D
1999-256-006,UPI_SORT,1999-257-406,F12
1999-256-006,UPI_SORT,1999-257-407,F28
1999-257-405,UPI_SORT,1999-257-408,F12
1999-257-405,UPI_SORT,1999-257-409,F28
1999-257-405,UPI_SORT,1999-257-410,F32
1999-257-405,UPI_SORT,1999-267-633,D1C
1999-257-405,UPI_SORT,1999-267-634,F24
1999-257-405,UPI_SORT,1999-267-635,D1D
1999-267-632,UPI_SORT,1999-267-636,F24
1999-267-632,UPI_SORT,1999-267-637,D1D
1999-267-632,UPI_SORT,1999-267-678,F12
1999-267-632,UPI_SORT,1999-267-679,F32
1999-267-632,UPI_SORT,1999-267-680,F24
1999-267-632,UPI_SORT,1999-267-696,D1D
1999-267-672,UPI_SORT,1999-267-697,F32
1999-267-695,UPI_SORT,1999-267-698,D1C
1999-267-695,UPI_SORT,1999-267-699,F24
1999-267-695,UPI_SORT,1999-267-700,D1D
1999-267-695,UPI_SORT,1999-276-301,F12
1999-267-695,UPI_SORT,1999-276-305,F28
1999-267-695,UPI_SORT,1999-276-443,F32
1999-276-300,UPI_SORT,1999-276-444,F32
1999-276-300,UPI_SORT,1999-276-445,F24
1999-276-300,UPI_SORT,1999-276-461,F12
1999-276-304,UPI_SORT,1999-276-462,D1D
1999-276-304,UPI_SORT,1999-276-463,F12
1999-276-304,UPI_SORT,1999-276-735,F32
1999-276-307,UPI_SORT,1999-276-736,D1D
1999-276-307,UPI_SORT,1999-276-737,F12
1999-276-307,UPI_SORT,1999-276-738,F28
1999-276-307,UPI_SORT,1999-276-739,F32
1999-276-309,UPI_SORT,1999-276-740,D1C
1999-276-309,UPI_SORT,1999-276-741,F24
1999-276-309,UPI_SORT,1999-276-742,D1D
1999-276-309,UPI_SORT,1999-287-022,F12
1999-289-378,UPI_SORT,1999-287-041,D1C
1999-289-378,UPI_SORT,1999-290-061,F24
1999-289-378,UPI_SORT,1999-290-062,D1D
1999-289-378,UPI_SORT,1999-290-063,F12
1999-289-378,UPI_SORT,1999-290-064,F28
1999-289-378,UPI_SORT,1999-290-065,F32
1999-291-381,UPI_SORT,1999-290-905,D1D
1999-291-381,UPI_SORT,1999-291-376,F12
1999-291-381,UPI_SORT,1999-291-378,F32
1999-291-381,UPI_SORT,1999-291-379,FAC
1999-291-381,UPI_SORT,1999-291-380,D1C
1999-291-381,UPI_SORT,1999-294-549,F21
1999-294-548,UPI_SORT,1999-294-550,F24
1999-294-548,UPI_SORT,1999-294-551,D1D
1999-082-592,UPI_DIE_PREP,77A9D6,F12
1999-135-443,UPI_DIE_PREP,77A9D7,F24
1999-135-444,UPI_DIE_PREP,77A9DF,D1D
1999-135-445,UPI_DIE_PREP,77A9DT,F12
1999-235-080,UPI_DIE_PREP,77A9FC,F32
1999-244-731,UPI_DIE_PREP,77A9FG,D1D
1999-244-732,UPI_DIE_PREP,77A9FT,F12
1999-244-733,UPI_DIE_PREP,77A9GC,F28
1999-244-734,UPI_DIE_PREP,77A9H4,F32
1999-244-735,UPI_DIE_PREP,77A9H7,FAC
1999-244-744,UPI_DIE_PREP,77A9HG,FAC
1999-244-745,UPI_DIE_PREP,77A9HL,D1C
1999-244-747,UPI_DIE_PREP,77A9HV,D1D
1999-244-748,UPI_DIE_PREP,77A9J4,F12
1999-246-910,UPI_DIE_PREP,77A9JA,D1C
1999-246-911,UPI_DIE_PREP,77A9JT,F24
1999-246-912,UPI_DIE_PREP,77A9JX,D1D
1999-246-913,UPI_DIE_PREP,77A9KC,F12
1999-246-914,UPI_DIE_PREP,77A9KF,F28
1999-249-805,UPI_DIE_PREP,77A9KK,F28
1999-249-806,UPI_DIE_PREP,77A9L5,F32
1999-249-808,UPI_DIE_PREP,77A9LD,F28
1999-249-809,UPI_DIE_PREP,77A9LT,F24
1999-249-837,UPI_DIE_PREP,77A9LX,F12
1999-249-838,UPI_DIE_PREP,77AFDM,F32
1999-249-839,UPI_DIE_PREP,77AFDT,FAC
1999-249-840,UPI_DIE_PREP,77AGT7,D1C
1999-256-220,UPI_DIE_PREP,77AHWX,F32
1999-256-221,UPI_DIE_PREP,77AHWZ,FAL
1999-256-222,UPI_DIE_PREP,77AHX0,D1C
1999-256-223,UPI_DIE_PREP,77AHXL,F24
1999-256-224,UPI_DIE_PREP,77AHXM,D1D
1999-257-406,UPI_DIE_PREP,77AJG4,F12
1999-257-407,UPI_DIE_PREP,77AJG6,F28
1999-257-408,UPI_DIE_PREP,77AJH8,F32
1999-257-409,UPI_DIE_PREP,77AJL1,BAC
1999-257-410,UPI_DIE_PREP,77AL2F,BTW
1999-267-633,UPI_DIE_PREP,77AMV4,F12
1999-267-634,UPI_DIE_PREP,77AMVD,F28
1999-267-635,UPI_DIE_PREP,77AMVF,F32
1999-267-637,UPI_DIE_PREP,77AMVP,F12
1999-267-678,UPI_DIE_PREP,77AMVR,FAC
1999-267-679,UPI_DIE_PREP,77AMWC,FAL
1999-267-680,UPI_DIE_PREP,77AMWD,F21
1999-267-696,UPI_DIE_PREP,77AMX2,D1C
1999-267-697,UPI_DIE_PREP,77AMX3,F24
1999-267-698,UPI_DIE_PREP,77AMX4,D1D
1999-276-301,UPI_DIE_PREP,77APCL,F32
1999-276-443,UPI_DIE_PREP,77APCM,F28
1999-276-444,UPI_DIE_PREP,77APCN,F32
1999-276-445,UPI_DIE_PREP,77APCP,FAC
1999-276-461,UPI_DIE_PREP,77APCT,D1C
1999-276-463,UPI_DIE_PREP,77APCV,D1D
1999-276-736,UPI_DIE_PREP,77APCW,F28
1999-276-738,UPI_DIE_PREP,77APCX,FAC
1999-276-739,UPI_DIE_PREP,77APCZ,D1C
1999-276-740,UPI_DIE_PREP,77APD0,F24
1999-276-741,UPI_DIE_PREP,77APD1,D1D
1999-276-742,UPI_DIE_PREP,77APD3,F12
1999-287-022,UPI_DIE_PREP,77APD4,F28
1999-287-041,UPI_DIE_PREP,77ARAA,F32
1999-290-061,UPI_DIE_PREP,77ARAC,D1C
1999-290-062,UPI_DIE_PREP,77ARAD,F21
1999-290-063,UPI_DIE_PREP,77ARAF,F24
1999-290-064,UPI_DIE_PREP,77ARC0,D1D
1999-290-905,UPI_DIE_PREP,77ARC1,F28
1999-291-378,UPI_DIE_PREP,77A9F3,F24
1999-291-379,UPI_DIE_PREP,77A9H1,F28
1999-291-380,UPI_DIE_PREP,77A9J2,F24
1999-294-549,UPI_DIE_PREP,77A9KH,F12
1999-294-550,UPI_DIE_PREP,77A9LP,F28
1999-294-551,UPI_DIE_PREP,77AFDP,F32
